Id,Remark,UnlockLevel,AllowedRods,TimeSlots,BodyType,LengthMin,LengthMax,WeightFactor,WeightMin,WeightMax,PerfectWeightMax,AppearWeight,Difficulty,Quality
100542,浪人鲹,7,140003,Morning、Noon、Evening,LargeThick,70,130,0.24,10,30,0,300,200,4
100543,月亮鱼,8,140003,Morning、Noon、Evening,LargeThick,80,150,0.24,30,80,0,300,200,4
100544,翻车鱼,8,140003,Morning、Noon、Evening,LargeThick,100,250,0.24,100,400,0,300,200,4
100545,皇带鱼,8,140003,Morning、Noon、Evening,LargeThick,300,800,0.24,100,500,0,250,250,5
100546,蝠鲼,8,140003,Morning、Noon、Evening,LargeThick,400,700,0.24,1000,3000,0,250,250,5
100547,旗鱼,9,140003,Midnight,Legendary,150,300,0.26,50,150,0,250,250,5
100548,砗磲,9,140003,Midnight,Legendary,60,120,0.26,10,50,0,250,250,5
100549,大王乌贼,9,140003,Midnight,Legendary,800,1200,0.36,100,300,0,250,250,5
100550,抹香鲸,9,140003,Midnight,Legendary,800,1600,0.36,20000,50000,0,250,250,5
100551,变异章鱼,10,140003,Midnight,Medium,20,60,0.18,1,5,0,250,250,5
