Id,Remark,Name,Icon,Desc,Type,TypeNum,备注,Synthesis,MaxNum,Shop,CurrencyType,Value,PurchaseRestriction,Quality,,,,
100033,比目鱼,IconFlounderName,IconFlounderNameIcon,IconFlounderNameText,6,,,,999,2,1,150,1+20,3,,,,
100034,鲷鱼,IconSeaBreamName,IconSeaBreamNameIcon,IconSeaBreamNameText,6,,,,999,2,1,150,1+20,3,,,,
100035,秋刀鱼,IconSauryName,IconSauryNameIcon,IconSauryNameText,6,,,,999,2,1,150,1+20,3,,,,
100036,青花鱼,IconMackerelName,IconMackerelNameIcon,IconMackerelNameText,6,,,,999,2,1,150,1+20,3,,,,
100037,鳗鱼,IconEelName,IconEelNameIcon,IconEelNameText,6,,,,999,2,1,150,1+20,3,,,,
100038,三文鱼,IconSalmonName,IconSalmonNameIcon,IconSalmonNameText,6,,,,999,2,1,200,1+20,4,,,,
100039,金枪鱼,IconTunaName,IconTunaNameIcon,IconTunaNameText,6,,,,999,2,1,200,1+20,4,,,,
100040,食用盐,IconEdibleRefinedSaltName,IconEdibleRefinedSaltNameIcon,IconEdibleRefinedSaltNameText,6,,,,999,2,1,50,1+20,1,,,,
100041,白砂糖,IconWhiteGranulatedSugarName,IconWhiteGranulatedSugarNameIcon,IconWhiteGranulatedSugarNameText,6,,,,999,2,1,50,1+20,1,,,,
100042,芥末,IconWasabiName,IconWasabiNameIcon,IconWasabiNameText,6,,,,999,2,1,50,1+20,1,,,,
100043,高汤,IconDashiName,IconDashiNameIcon,IconDashiNameText,6,,,,999,2,1,100,1+20,2,,,,
100044,牛奶,IconMilkName,IconMilkNameIcon,IconMilkNameText,6,,,,999,2,1,100,1+20,2,,,,
100045,面粉,IconFlourName,IconFlourNameIcon,IconFlourNameText,6,,,,999,2,1,100,1+20,2,,,,
100046,黄油,IconButterName,IconButterNameIcon,IconButterNameText,6,,,,999,2,1,150,1+20,3,,,,
100047,奶油,IconCreamName,IconCreamNameIcon,IconCreamNameText,6,,,,999,2,1,150,1+20,3,,,,
100048,芝士,IconCheeseName,IconCheeseNameIcon,IconCheeseNameText,6,,,,999,2,1,200,1+20,4,,,,
100049,咖喱,IconCurryName,IconCurryNameIcon,IconCurryNameText,6,,,,999,2,1,200,1+20,4,,,,
100051,变异章鱼,IconMutantOctopusName,IconMutantOctopusNameIcon,IconMutantOctopusNameText,,,,,999,,1,250,0+1,5,,,,
100052,变异南瓜,IconMutantPumpkinName,IconMutantPumpkinNameIcon,IconMutantPumpkinNameText,,,,,999,,1,250,0+1,5,,,,
100053,变异蘑菇,IconMutantMushroomName,IconMutantMushroomNameIcon,IconMutantMushroomNameText,,,,,999,,1,250,0+1,5,,,,
100054,变异鸡肉,IconMutantChickenName,IconMutantChickenNameIcon,IconMutantChickenNameText,,,,,999,,1,250,0+1,5,,,,
100055,变异牛奶,IconMutantMilkName,IconMutantMilkNameIcon,IconMutantMilkNameText,,,,,999,,1,250,0+1,5,,,,
110000,水果沙拉配方,IconFruitSaladRecipeName,IconFruitSaladRecipeNameIcon,IconFruitSaladRecipeNameText,7,100017+100018+100019,水果类+水果类,120001,999,2,1,1000,0+1,1,,,,
110001,蛋炒饭配方,IconEggFriedRiceRecipeName,IconEggFriedRiceRecipeNameIcon,IconEggFriedRiceRecipeNameText,7,100000+100006,,120002,999,2,1,1000,0+1,1,,,,
110002,八宝菜配方,IconHapposaiRecipeName,IconHapposaiRecipeNameIcon,IconHapposaiRecipeNameText,7,100007+100021+100013+100012,,120003,999,2,1,1000,0+1,1,,,,
110003,饭团配方,IconOnigiriRecipeName,IconOnigiriRecipeNameIcon,IconOnigiriRecipeNameText,7,100000+100015,,120004,999,2,1,1000,0+1,1,,,,
110004,海鲜饭团配方,IconSeafoodOnigiriRecipeName,IconSeafoodOnigiriRecipeNameIcon,IconSeafoodOnigiriRecipeNameText,7,100038+100001+100016,海鲜类+米饭+海苔,120005,999,2,1,1000,0+1,1,,,,
110005,海鲜寿司配方,IconSeafoodSushiRecipeName,IconSeafoodSushiRecipeNameIcon,IconSeafoodSushiRecipeNameText,7,100025+100038+100000+100042,海鲜类+海鲜类+米饭+芥末,120006,999,2,1,1000,0+1,1,,,,
110006,刺身料理配方,IconSashimiPlatterRecipeName,IconSashimiPlatterRecipeNameIcon,IconSashimiPlatterRecipeNameText,7,100023+100024+100025,海鲜类+海鲜类+海鲜类+芥末,120007,999,2,1,2000,0+1,2,,,,
110007,香煎鱼配方,IconPanFriedFishRecipeName,IconPanFriedFishRecipeNameIcon,IconPanFriedFishRecipeNameText,7,100036+100040,鱼类+盐,120008,999,2,1,1000,0+1,1,,,,
110008,杂蔬海鲜天妇罗配方,IconAssortedSeafoodRecipeName,IconAssortedSeafoodRecipeNameIcon,IconAssortedSeafoodRecipeNameText,7,100003+100026+100045,蔬菜类+海鲜类+面粉,120009,999,2,1,2000,0+1,2,,,,
110009,大阪烧配方,IconOsakaStyleOkonomiyakiRecipeName,IconOsakaStyleOkonomiyakiRecipeNameIcon,IconOsakaStyleOkonomiyakiRecipeNameText,7,100007+100008+100010+100045,,120010,999,2,1,2000,0+1,2,,,,
110010,章鱼小丸子配方,IconTakoyakiRecipeName,IconTakoyakiRecipeNameIcon,IconTakoyakiRecipeNameText,7,100045+100020,,120011,999,2,1,2000,0+1,2,,,,
110011,煎饺配方,IconGrilledGyozaRecipeName,IconGrilledGyozaRecipeNameIcon,IconGrilledGyozaRecipeNameText,7,100007+100013+100045,,120012,999,2,1,2000,0+1,2,,,,
110012,生菜鸡胸肉沙拉配方,IconLettuceAndChickenBreastSaladRecipeName,IconLettuceAndChickenBreastSaladRecipeNameIcon,IconLettuceAndChickenBreastSaladRecipeNameText,7,100009+100011,,120013,999,2,1,2000,0+1,2,,,,
110013,芝士焗龙虾配方,IconCheeseGratinSpinyLobsterRecipeName,IconCheeseGratinSpinyLobsterRecipeNameIcon,IconCheeseGratinSpinyLobsterRecipeNameText,7,100005+100023+100048+100046,,120014,999,2,1,2000,0+1,2,,,,
110014,海鲜炒面配方,IconSeafoodYakisobaRecipeName,IconSeafoodYakisobaRecipeNameIcon,IconSeafoodYakisobaRecipeNameText,7,100022+100025+100014,,120015,999,2,1,1000,0+1,1,,,,
110015,煎牛排配方,IconBeefSteakRecipeName,IconBeefSteakRecipeNameIcon,IconBeefSteakRecipeNameText,7,100004+100046+100040,,120016,999,2,1,2000,0+1,2,,,,
110016,豚骨拉面配方,IconTonkotsuRamenRecipeName,IconTonkotsuRamenRecipeNameIcon,IconTonkotsuRamenRecipeNameText,7,100007+100015+100006+100043,,120017,999,2,1,2000,0+1,2,,,,
110017,乌冬面配方,IconUdonNoodlesRecipeName,IconUdonNoodlesRecipeNameIcon,IconUdonNoodlesRecipeNameText,7,100014+100043,,120018,999,2,1,2000,0+1,2,,,,
110018,味增汤配方,IconMisoSoupRecipeName,IconMisoSoupRecipeNameIcon,IconMisoSoupRecipeNameText,7,100001+100015+100043,,120019,999,2,1,2000,0+1,2,,,,
110019,茶碗蒸配方,IconSteamedEggCustardRecipeName,IconSteamedEggCustardRecipeNameIcon,IconSteamedEggCustardRecipeNameText,7,100006+100012+100026+100013,,120020,999,2,1,2000,0+1,2,,,,
110020,鳗鱼盖饭配方,IconEelRiceBowlRecipeName,IconEelRiceBowlRecipeNameIcon,IconEelRiceBowlRecipeNameText,7,100037+100000,,120021,999,2,1,2000,0+1,2,,,,
110021,烤生蚝配方,IconGrilledOystersRecipeName,IconGrilledOystersRecipeNameIcon,IconGrilledOystersRecipeNameText,7,100024+100040,,120022,999,2,1,3000,0+1,3,,,,
110022,亲子丼配方,IconChickenEggRiceBowlRecipeName,IconChickenEggRiceBowlRecipeNameIcon,IconChickenEggRiceBowlRecipeNameText,7,100000+100006+100011+100010,,120023,999,2,1,3000,0+1,3,,,,
110023,咖喱蛋包饭配方,IconCurryOmuriceRecipeName,IconCurryOmuriceRecipeNameIcon,IconCurryOmuriceRecipeNameText,7,100000+100006+100049+100004,,120024,999,2,1,3000,0+1,3,,,,
110024,可乐饼配方,IconPotatoCroquetteRecipeName,IconPotatoCroquetteRecipeNameIcon,IconPotatoCroquetteRecipeNameText,7,100007+100045+100002,,120025,999,2,1,3000,0+1,3,,,,
110025,明太子烤土豆配方,IconBakedPotatoRecipeName,IconBakedPotatoRecipeNameIcon,IconBakedPotatoRecipeNameText,7,100002+100048+100046,,120026,999,2,1,3000,0+1,3,,,,
110026,关东煮配方,IconOdenRecipeName,IconOdenRecipeNameIcon,IconOdenRecipeNameText,7,100001+100013+100043,,120027,999,2,1,3000,0+1,3,,,,
110027,寿喜烧配方,IconSukiyakiRecipeName,IconSukiyakiRecipeNameIcon,IconSukiyakiRecipeNameText,7,100004+100043+100012,,120028,999,2,1,4000,0+1,4,,,,
110028,玉子烧配方,IconSweetRolledOmeletteRecipeName,IconSweetRolledOmeletteRecipeNameIcon,IconSweetRolledOmeletteRecipeNameText,7,100006+100041,,120029,999,2,1,3000,0+1,3,,,,
110029,鲷鱼烧配方,IconTaiyakiRecipeName,IconTaiyakiRecipeNameIcon,IconTaiyakiRecipeNameText,7,100016+100045,,120030,999,2,1,3000,0+1,3,,,,
110030,可丽饼配方,IconCrepeRecipeName,IconCrepeRecipeNameIcon,IconCrepeRecipeNameText,7,100019+100041+100045+100047,,120031,999,2,1,4000,0+1,4,,,,
110031,蛋糕配方,IconFruitCakeRecipeName,IconFruitCakeRecipeNameIcon,IconFruitCakeRecipeNameText,7,100047+100045+100044,可以加水果类,120032,999,2,1,3000,0+1,3,,,,
110032,布丁配方,IconPuddingRecipeName,IconPuddingRecipeNameIcon,IconPuddingRecipeNameText,7,100006+100044,,120033,999,2,1,4000,0+1,4,,,,
110033,冰淇淋配方,IconIceCreamRecipeName,IconIceCreamRecipeNameIcon,IconIceCreamRecipeNameText,7,100041+100044+100047,,120034,999,2,1,4000,0+1,4,,,,
110034,肉咖喱配方,IconBeefCurryRecipeName,IconBeefCurryRecipeNameIcon,IconBeefCurryRecipeNameText,7,100007+100011+100004+100049,,120035,999,2,1,1000,0+1,1,,,,
110035,变异章鱼触手意面 配方,IconMutantOctopusTentacle PastaRecipeName,IconMutantOctopusTentacle PastaRecipeNameIcon,IconMutantOctopusTentacle PastaRecipeNameText,,100005+100014+100048+100051,,120036,999,2,1,5000,0+1,5,,,,
110036,变异杰克南瓜浓汤配方,IconMutantJackPumpkinBisqueRecipeName,IconMutantJackPumpkinBisqueRecipeNameIcon,IconMutantJackPumpkinBisqueRecipeNameText,,100052+100043+100005,,120037,999,2,1,5000,0+1,5,,,,
110037,变异水煮大蝎子与行走菇配方,IconMutantLobsterMushroomBoilRecipeName,IconMutantLobsterMushroomBoilRecipeNameIcon,IconMutantLobsterMushroomBoilRecipeNameText,,100023+100043+100053,,120038,999,2,1,5000,0+1,5,,,,
110038,变异奇怪的鸡蛋包饭配方,IconMutantChikenOmeletteRiceRecipeName,IconMutantChikenOmeletteRiceRecipeNameIcon,IconMutantChikenOmeletteRiceRecipeNameText,,100006+100000+100054,,120039,999,2,1,5000,0+1,5,,,,
110039,变异史莱姆牛奶雪糕配方,IconMutantSlimeMilkIceCreamRecipeName,IconMutantSlimeMilkIceCreamRecipeNameIcon,IconMutantSlimeMilkIceCreamRecipeNameText,,100055+100041+100047,,120040,999,2,1,5000,0+1,5,,,,
120000,便当,IconBentoName,IconBentoNameIcon,IconBentoNameText,8,30,,,999,2,1,200,,1,,,,
120001,水果沙拉,IconFruitSaladName,IconFruitSaladNameIcon,IconFruitSaladNameText,8,60,,,999,2,1,400,,2,,,,
120002,蛋炒饭,IconEggFriedRiceName,IconEggFriedRiceNameIcon,IconEggFriedRiceNameText,8,60,,,999,2,1,400,,2,,,,
120003,八宝菜,IconHapposaiName,IconHapposaiNameIcon,IconHapposaiNameText,8,60,,,999,2,1,400,,2,,,,
120004,饭团,IconOnigiriName,IconOnigiriNameIcon,IconOnigiriNameText,8,60,,,999,2,1,400,,2,,,,
120005,海鲜饭团,IconSeafoodOnigiriName,IconSeafoodOnigiriNameIcon,IconSeafoodOnigiriNameText,8,60,,,999,2,1,400,,2,,,,
120006,海鲜寿司,IconSeafoodSushiName,IconSeafoodSushiNameIcon,IconSeafoodSushiNameText,8,60,,,999,2,1,400,,2,,,,
120007,刺身料理,IconSashimiPlatterName,IconSashimiPlatterNameIcon,IconSashimiPlatterNameText,8,90,,,999,2,1,600,,3,,,,
120008,香煎鱼,IconPanFriedFishName,IconPanFriedFishNameIcon,IconPanFriedFishNameText,8,60,,,999,2,1,400,,2,,,,
120009,杂蔬海鲜天妇罗,IconAssortedSeafoodName,IconAssortedSeafoodNameIcon,IconAssortedSeafoodNameText,8,90,,,999,2,1,600,,3,,,,
120010,大阪烧,IconOsakaStyleOkonomiyakiName,IconOsakaStyleOkonomiyakiNameIcon,IconOsakaStyleOkonomiyakiNameText,8,90,,,999,2,1,600,,3,,,,
120011,章鱼小丸子,IconTakoyakiName,IconTakoyakiNameIcon,IconTakoyakiNameText,8,90,,,999,2,1,600,,3,,,,
120012,煎饺,IconGrilledGyozaName,IconGrilledGyozaNameIcon,IconGrilledGyozaNameText,8,90,,,999,2,1,600,,3,,,,
120013,生菜鸡胸肉沙拉,IconLettuceAndChickenBreastSaladName,IconLettuceAndChickenBreastSaladNameIcon,IconLettuceAndChickenBreastSaladNameText,8,90,,,999,2,1,600,,3,,,,
120014,芝士焗龙虾,IconCheeseGratinSpinyLobsterName,IconCheeseGratinSpinyLobsterNameIcon,IconCheeseGratinSpinyLobsterNameText,8,90,,,999,2,1,600,,3,,,,
120015,海鲜炒面,IconSeafoodYakisobaName,IconSeafoodYakisobaNameIcon,IconSeafoodYakisobaNameText,8,60,,,999,2,1,400,,2,,,,
120016,煎牛排,IconBeefSteakName,IconBeefSteakNameIcon,IconBeefSteakNameText,8,90,,,999,2,1,600,,3,,,,
120017,豚骨拉面,IconTonkotsuRamenName,IconTonkotsuRamenNameIcon,IconTonkotsuRamenNameText,8,90,,,999,2,1,600,,3,,,,
120018,乌冬面,IconUdonNoodlesName,IconUdonNoodlesNameIcon,IconUdonNoodlesNameText,8,90,,,999,2,1,600,,3,,,,
120019,味增汤,IconMisoSoupName,IconMisoSoupNameIcon,IconMisoSoupNameText,8,90,,,999,2,1,600,,3,,,,
120020,茶碗蒸,IconSteamedEggCustardName,IconSteamedEggCustardNameIcon,IconSteamedEggCustardNameText,8,90,,,999,2,1,600,,3,,,,
120021,鳗鱼盖饭,IconEelRiceBowlName,IconEelRiceBowlNameIcon,IconEelRiceBowlNameText,8,90,,,999,2,1,600,,3,,,,
120022,烤生蚝,IconGrilledOystersName,IconGrilledOystersNameIcon,IconGrilledOystersNameText,8,120,,,999,2,1,800,,4,,,,
120023,亲子丼,IconChickenEggRiceBowlName,IconChickenEggRiceBowlNameIcon,IconChickenEggRiceBowlNameText,8,120,,,999,2,1,800,,4,,,,
120024,咖喱蛋包饭,IconCurryOmuriceName,IconCurryOmuriceNameIcon,IconCurryOmuriceNameText,8,120,,,999,2,1,800,,4,,,,
120025,可乐饼,IconPotatoCroquetteName,IconPotatoCroquetteNameIcon,IconPotatoCroquetteNameText,8,120,,,999,2,1,800,,4,,,,
120026,明太子烤土豆,IconBakedPotatoName,IconBakedPotatoNameIcon,IconBakedPotatoNameText,8,120,,,999,2,1,800,,4,,,,
120027,关东煮,IconOdenName,IconOdenNameIcon,IconOdenNameText,8,120,,,999,2,1,800,,4,,,,
120028,寿喜烧,IconSukiyakiName,IconSukiyakiNameIcon,IconSukiyakiNameText,8,150,,,999,2,1,1000,,5,,,,
120029,玉子烧,IconSweetRolledOmeletteName,IconSweetRolledOmeletteNameIcon,IconSweetRolledOmeletteNameText,8,120,,,999,2,1,800,,4,,,,
120030,鲷鱼烧,IconTaiyakiName,IconTaiyakiNameIcon,IconTaiyakiNameText,8,120,,,999,2,1,800,,4,,,,
120031,可丽饼,IconCrepeName,IconCrepeNameIcon,IconCrepeNameText,8,150,,,999,2,1,1000,,5,,,,
120032,蛋糕,IconFruitCakeName,IconFruitCakeNameIcon,IconFruitCakeNameText,8,120,,,999,2,1,800,,4,,,,
120033,布丁,IconPuddingName,IconPuddingNameIcon,IconPuddingNameText,8,150,,,999,2,1,1000,,5,,,,
120034,冰淇淋,IconIceCreamName,IconIceCreamNameIcon,IconIceCreamNameText,8,150,,,999,2,1,1000,,5,,,,
120035,肉咖喱,IconBeefCurryName,IconBeefCurryNameIcon,IconBeefCurryNameText,8,60,,,999,2,1,400,,2,,,,
120036,变异章鱼触手意面 ,IconMutantOctopusTentacle PastaName,IconMutantOctopusTentacle PastaNameIcon,IconMutantOctopusTentacle PastaNameText,,,,,999,2,1,1000,,5,,,,
120037,变异杰克南瓜浓汤,IconMutantJackPumpkinBisqueName,IconMutantJackPumpkinBisqueNameIcon,IconMutantJackPumpkinBisqueNameText,,,,,999,2,1,1000,,5,,,,
120038,变异水煮大蝎子与行走菇,IconMutantLobsterMushroomBoilName,IconMutantLobsterMushroomBoilNameIcon,IconMutantLobsterMushroomBoilNameText,,,,,999,2,1,1000,,5,,,,
120039,变异奇怪的鸡蛋包饭,IconMutantChikenOmeletteRiceName,IconMutantChikenOmeletteRiceNameIcon,IconMutantChikenOmeletteRiceNameText,,,,,999,2,1,1000,,5,,,,
120040,变异史莱姆牛奶雪糕,IconMutantSlimeMilkIceCreamName,IconMutantSlimeMilkIceCreamNameIcon,IconMutantSlimeMilkIceCreamNameText,,,,,999,2,1,1000,,5,,,,
200000,星野休憩,Starfieldrest,StarfieldrestIcon,StarfieldrestText,10,,,,999,,1,200,,1,,,,
200001,晚风橘绘,Evenwindorangepaint,EvenwindorangepaintIcon,EvenwindorangepaintText,10,,,,999,,1,200,,1,,,,
200002,窗边白笺,Windowwhiteletter,WindowwhiteletterIcon,WindowwhiteletterText,10,,,,999,,1,200,,1,,,,
200003,青空信约,Blueskypromise,BlueskypromiseIcon,BlueskypromiseText,10,,,,999,,1,200,,1,,,,
200004,樱花私语,Cherryblossomwhisper,CherryblossomwhisperIcon,CherryblossomwhisperText,10,,,,999,,1,200,,1,,,,
200005,星轨魔导,Startrackmagic,StartrackmagicIcon,StartrackmagicText,10,,,,999,,1,200,,1,,,,
200006,雾境魔女,Mistlandwitch,MistlandwitchIcon,MistlandwitchText,10,,,,999,,1,200,,1,,,,
200007,月光咒印,Moonlightrune,MoonlightruneIcon,MoonlightruneText,10,,,,999,,1,200,,1,,,,
200008,冰晶灵使,Icefairyenvoy,IcefairyenvoyIcon,IcefairyenvoyText,10,,,,999,,1,200,,1,,,,
200009,云间神谕,Cloudoracle,CloudoracleIcon,CloudoracleText,10,,,,999,,1,200,,1,,,,
200010,课间碎光,Breaktimelight,BreaktimelightIcon,BreaktimelightText,10,,,,999,,1,200,,1,,,,
200011,校服晚风,Schooluniformwind,SchooluniformwindIcon,SchooluniformwindText,10,,,,999,,1,200,,1,,,,
200012,操场落日,Playgroundsettingsun,PlaygroundsettingsunIcon,PlaygroundsettingsunText,10,,,,999,,1,400,,2,,,,
200013,图书馆秘思,Librarythought,LibrarythoughtIcon,LibrarythoughtText,10,,,,999,,1,400,,2,,,,
200014,天台告白,Roofconfession,RoofconfessionIcon,RoofconfessionText,10,,,,999,,1,400,,2,,,,
200015,月下青衫,Moonbluegown,MoonbluegownIcon,MoonbluegownText,10,,,,999,,1,400,,2,,,,
200016,桃枝执扇,Peachfanlady,PeachfanladyIcon,PeachfanladyText,10,,,,999,,1,400,,2,,,,
200017,山河辞赋,Riverpoem,RiverpoemIcon,RiverpoemText,10,,,,999,,1,400,,2,,,,
200018,云袖清欢,Cloudsleevejoy,CloudsleevejoyIcon,CloudsleevejoyText,10,,,,999,,1,400,,2,,,,
200019,灯影红笺,Lamprednote,LamprednoteIcon,LamprednoteText,10,,,,999,,1,400,,2,,,,
200020,霓虹战姬,Neonwarmaiden,NeonwarmaidenIcon,NeonwarmaidenText,10,,,,999,,1,600,,3,,,,
200021,深空巡卫,Deepspaceguard,DeepspaceguardIcon,DeepspaceguardText,10,,,,999,,1,600,,3,,,,
200022,机甲星旅,Mechstartravel,MechstartravelIcon,MechstartravelText,10,,,,999,,1,600,,3,,,,
200023,雨夜刃影,Rainbladeshadow,RainbladeshadowIcon,RainbladeshadowText,10,,,,999,,1,600,,3,,,,
200024,虚空战歌,Voidbattlesong,VoidbattlesongIcon,VoidbattlesongText,10,,,,999,,1,600,,3,,,,
200025,猫屿午后,Catislandafternoon,CatislandafternoonIcon,CatislandafternoonText,10,,,,999,,1,600,,3,,,,
200026,雪落狐踪,Snowfoxtrail,SnowfoxtrailIcon,SnowfoxtrailText,10,,,,999,,1,800,,4,,,,
200027,深海人鱼,Deepseamermaid,DeepseamermaidIcon,DeepseamermaidText,10,,,,999,,1,800,,4,,,,
200028,林间萤火,Forestfirefly,ForestfireflyIcon,ForestfireflyText,10,,,,999,,1,800,,4,,,,
200029,浅海碎浪,Shallowwavelight,ShallowwavelightIcon,ShallowwavelightText,10,,,,999,,1,1000,,5,,,,
210000,徽章,Badge,BadgeIcon,BadgeText,9,,,,999,,1,200,,1,,,,
210001,画册,PictureAlbum,PictureAlbumIcon,PictureAlbumText,9,,,,999,,1,400,,2,,,,
210002,抱枕,Pillow,PillowIcon,PillowText,9,,,,999,,1,600,,3,,,,
210003,毯子,Blanket,BlanketIcon,BlanketText,9,,,,999,,1,800,,4,,,,
210004,立牌,Standee,StandeeIcon,StandeeText,9,,,,999,,1,200,,1,,,,
210005,明信片,Postcard,PostcardIcon,PostcardText,9,,,,999,,1,200,,1,,,,
210006,帆布包,CanvasBag,CanvasBagIcon,CanvasBagText,9,,,,999,,1,200,,1,,,,
210007,文件夹,Folder,FolderIcon,FolderText,9,,,,999,,1,200,,1,,,,
210008,挂轴,HangingScroll,HangingScrollIcon,HangingScrollText,9,,,,999,,1,200,,1,,,,
210009,海报,Poster,PosterIcon,PosterText,9,,,,999,,1,200,,1,,,,
210010,镭射票,LaserTicket,LaserTicketIcon,LaserTicketText,9,,,,999,,1,200,,1,,,,
210011,手机壳,PhoneCase,PhoneCaseIcon,PhoneCaseText,9,,,,999,,1,200,,1,,,,
210012,贴纸,Sticker,StickerIcon,StickerText,9,,,,999,,1,200,,1,,,,
210013,本子,Notebook,NotebookIcon,NotebookText,9,,,,999,,1,200,,1,,,,
210014,钥匙扣,Keychain,KeychainIcon,KeychainText,9,,,,999,,1,200,,1,,,,
210015,T-恤,TShirt,TShirtIcon,TShirtText,9,,,,999,,1,200,,1,,,,
220000,聚酯斜纹,Polyestertwill,PolyestertwillIcon,PolyestertwillText,12,,,,999,,1,200,1+5,1,,,,
220001,四面弹莱卡,Fourwayspandex,FourwayspandexIcon,FourwayspandexText,12,,,,999,,1,200,1+5,1,,,,
220002,色丁缎面,Satin,SatinIcon,SatinText,12,,,,999,,1,400,1+5,2,,,,
220003,雪纺,Chiffon,ChiffonIcon,ChiffonText,12,,,,999,,1,400,1+5,2,,,,
220004,塔夫绸,Taffeta,TaffetaIcon,TaffetaText,12,,,,999,,1,600,1+5,3,,,,
220005,丝绒,Velvet,VelvetIcon,VelvetText,12,,,,999,,1,600,1+5,3,,,,
220006,PU 仿皮,Puleather,PuleatherIcon,PuleatherText,12,,,,999,,1,800,1+5,4,,,,
